<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.08.29	21797	21842	21648	21831	9318	0	0
2017.08.30	21830	21956	21826	21905	6856	0	0
2017.08.31	21906	21986	21856	21931	6515	0	0
2017.09.01	21931	22038	21911	22016	5946	0	0
2017.09.04	21914	21946	21898	21927	4433	0	0
2017.09.05	21919	21949	21707	21753	7302	0	0
2017.09.06	21752	21847	21730	21822	8326	0	0
2017.09.07	21822	21849	21744	21763	7705	0	0
2017.09.08	21762	21841	21710	21820	6923	0	0
2017.09.11	21894	22066	21880	22059	5313	0	0
2017.09.12	22059	22135	22039	22115	5641	0	0
2017.09.13	22115	22145	22090	22131	5376	0	0
2017.09.14	22130	22212	22108	22200	5480	0	0
2017.09.15	22199	22256	22164	22245	5988	0	0
2017.09.18	22268	22356	22267	22345	4740	0	0
2017.09.19	22344	22382	22322	22380	5101	0	0
2017.09.20	22381	22396	22358	22373	4616	0	0
2017.09.21	22368	22426	22315	22372	5929	0	0
2017.09.22	22372	22382	22296	22325	5715	0	0
2017.09.25	22349	22378	22215	22280	5896	0	0
2017.09.26	22281	22365	22269	22318	6346	0	0
2017.09.27	22318	22369	22253	22310	5897	0	0
2017.09.28	22310	22394	22282	22387	6289	0	0
2017.09.29	22388	22390	22329	22360	5008	0	0
2017.10.02	22439	22533	22411	22531	4615	0	0
2017.10.03	22532	22638	22525	22629	4592	0	0
2017.10.04	22630	22684	22628	22669	4348	0	0
2017.10.05	22669	22769	22643	22763	4311	0	0
2017.10.06	22762	22785	22728	22741	4657	0	0
2017.10.09	22754	22799	22745	22769	3754	0	0
2017.10.10	22770	22849	22738	22809	5455	0	0
2017.10.11	22809	22855	22799	22835	4663	0	0
2017.10.12	22835	22885	22831	22858	4471	0	0
2017.10.13	22857	22902	22820	22880	4891	0	0
2017.10.16	22896	22946	22886	22920	3848	0	0
2017.10.17	22920	22998	22918	22972	4403	0	0
2017.10.18	22971	23161	22967	23156	4495	0	0
2017.10.19	23156	23172	23000	23130	7023	0	0
2017.10.20	23131	23312	23130	23300	6297	0	0
2017.10.23	23334	23368	23315	23333	5172	0	0
2017.10.24	23332	23486	23274	23469	6648	0	0
2017.10.25	23469	23477	23249	23317	8064	0	0
2017.10.26	23317	23450	23293	23425	7264	0	0
2017.10.27	23424	23458	23348	23430	7796	0	0
2017.10.30	23411	23428	23328	23357	6199	0	0
2017.10.31	23358	23392	23321	23392	5393	0	0
2017.11.01	23393	23517	23365	23444	6974	0	0
2017.11.02	23445	23477	23343	23458	7746	0	0
2017.11.03	23459	23554	23456	23530	6034	0	0
2017.11.06	23531	23563	23468	23556	5627	0	0
2017.11.07	23556	23623	23482	23532	6393	0	0
2017.11.08	23533	23575	23499	23565	6507	0	0
2017.11.09	23564	23580	23307	23409	10321	0	0
2017.11.10	23409	23485	23376	23407	8827	0	0
2017.11.13	23449	23467	23327	23447	6530	0	0
2017.11.14	23446	23461	23269	23384	7586	0	0
2017.11.15	23384	23414	23241	23283	8447	0	0
2017.11.16	23284	23479	23266	23469	7342	0	0
2017.11.17	23469	23490	23351	23364	7468	0	0
2017.11.20	23333	23456	23269	23451	6697	0	0
2017.11.21	23450	23617	23404	23605	6362	0	0
2017.11.22	23606	23625	23502	23524	5895	0	0
2017.11.23	23524	23542	23460	23522	4645	0	0
2017.11.24	23510	23599	23505	23547	5279	0	0
2017.11.27	23557	23638	23496	23591	5780	0	0
2017.11.28	23589	23771	23544	23677	6693	0	0
2017.11.29	23678	23959	23644	23915	8188	0	0
2017.11.30	23915	24327	23890	24246	8995	0	0
2017.12.01	24247	24323	23921	24191	15397	0	0
2017.12.04	24403	24533	24394	24414	9329	0	0
2017.12.05	24414	24414	24231	24269	10564	0	0
2017.12.06	24269	24276	24081	24194	10909	0	0
2017.12.07	24193	24259	24068	24224	9048	0	0
2017.12.08	24224	24321	24159	24301	8037	0	0
2017.12.11	24343	24387	24314	24375	6655	0	0
2017.12.12	24374	24552	24349	24529	7052	0	0
2017.12.13	24528	24666	24461	24603	7853	0	0
2017.12.14	24610	24678	24553	24556	8465	0	0
2017.12.15	24557	24672	24512	24662	8238	0	0
2017.12.18	24708	24873	24707	24781	7077	0	0
2017.12.19	24780	24873	24713	24772	7048	0	0
2017.12.20	24773	24863	24716	24762	8079	0	0
2017.12.21	24763	24846	24690	24827	7195	0	0
2017.12.22	24826	24834	24721	24742	6547	0	0
2017.12.26	24744	24781	24698	24739	3288	0	0
2017.12.27	24739	24792	24729	24766	6083	0	0
2017.12.28	24767	24829	24740	24805	5372	0	0
2017.12.29	24806	24899	24786	24797	5295	0	0
2018.01.02	24791	24876	24740	24777	5150	0	0
2018.01.03	24778	24908	24769	24864	5865	0	0
2018.01.04	24864	25106	24862	25081	6983	0	0
2018.01.05	25081	25185	25064	25179	6572	0	0
2018.01.08	25372	25380	25235	25297	5979	0	0
2018.01.09	25296	25439	25259	25437	6591	0	0
2018.01.10	25438	25440	25246	25391	8870	0	0
2018.01.11	25392	25530	25331	25507	7920	0	0
2018.01.12	25508	25790	25500	25771	7597	0	0
2018.01.15	25911	26002	25892	25958	6068	0	0
2018.01.16	25962	26087	25856	25865	8708	0	0
2018.01.17	25866	26055	25703	26043	12584	0	0
2018.01.18	26044	26153	25943	26046	11391	0	0
2018.01.19	26045	26077	25881	25969	11429	0	0
2018.01.22	26009	26162	25969	26136	7605	0	0
2018.01.23	26136	26321	26109	26227	10525	0	0
2018.01.24	26227	26391	26093	26209	10914	0	0
2018.01.25	26210	26454	26199	26415	12461	0	0
2018.01.26	26416	26528	26292	26521	10070	0	0
2018.01.29	26662	26702	26454	26538	9666	0	0
2018.01.30	26538	26550	26026	26087	17601	0	0
2018.01.31	26087	26330	26049	26216	13755	0	0
2018.02.01	26216	26299	25941	26177	15363	0	0
2018.02.02	26178	26221	25724	25747	19056	0	0
2018.02.05	25290	25519	25022	25196	20329	0	0
2018.02.06	25196	25203	23116	24264	75863	0	0
2018.02.07	24263	25297	24202	25062	38098	0	0
2018.02.08	25064	25187	24213	24479	37901	0	0
2018.02.09	24475	24513	23359	23599	47433	0	0
2018.02.12	24290	24738	24249	24712	23948	0	0
2018.02.13	24714	24765	24402	24651	24178	0	0
2018.02.14	24651	24842	24311	24805	23476	0	0
2018.02.15	24806	25167	24763	25069	20079	0	0
2018.02.16	25069	25433	25065	25243	18218	0	0
2018.02.19	25285	25349	25065	25193	9441	0	0
2018.02.20	25198	25227	24982	25096	17079	0	0
2018.02.21	25098	25131	24879	25111	18540	0	0
2018.02.22	25111	25271	24592	25008	24240	0	0
2018.02.23	25010	25220	24898	25124	19243	0	0
2018.02.26	25392	25681	25313	25651	12739	0	0
2018.02.27	25652	25820	25550	25608	17901	0	0
2018.02.28	25609	25625	25310	25438	19127	0	0
2018.03.01	25438	25475	24574	24575	28221	0	0
2018.03.02	24579	24732	24209	24425	30601	0	0
2018.03.05	24428	24833	24319	24819	19935	0	0
2018.03.06	24819	25055	24705	24853	19032	0	0
2018.03.07	24852	24937	24413	24641	23616	0	0
2018.03.08	24640	24951	24609	24760	16855	0	0
2018.03.09	24761	25283	24721	25268	15367	0	0
2018.03.12	25417	25500	25148	25167	12338	0	0
2018.03.13	25166	25374	25056	25082	15249	0	0
2018.03.14	25082	25145	24660	24791	18847	0	0
2018.03.15	24789	25055	24665	24877	17131	0	0
2018.03.16	24875	25029	24825	24981	13920	0	0
2018.03.19	24923	24938	24451	24527	15629	0	0
2018.03.20	24528	24805	24482	24773	16039	0	0
2018.03.21	24772	24985	24650	24735	13987	0	0
2018.03.22	24737	24869	24168	24208	22533	0	0
2018.03.23	24207	24268	23699	23731	28887	0	0
2018.03.26	23653	24043	23572	23954	20128	0	0
2018.03.27	23953	24449	23950	24255	20562	0	0
2018.03.28	24256	24300	23705	23959	33308	0	0
2018.03.29	23960	24206	23753	24180	22420	0	0
2018.03.30	24181	24312	24149	24156	3335	0	0
2018.04.02	24165	24167	23400	23400	18222	0	0
2018.04.03	23396	23910	23336	23854	21808	0	0
2018.04.04	23855	24044	23395	23948	26693	0	0
2018.04.05	23948	24624	23942	24417	20909	0	0
2018.04.06	24418	24596	23932	23939	28790	0	0
2018.04.09	24042	24374	23980	24367	16434	0	0
2018.04.10	24367	24510	23954	24417	24841	0	0
2018.04.11	24417	24474	24090	24290	19146	0	0
